CPGfrac	RPKM	H3K27ac	H3K27me3	H3K36me3	H3K4me1	H3K4me3	H3K9me3	Input
100507377	9	0	15	13	13	8	6	18	21
100507384	8	0	16	28	13	8	6	12	13
100507387	9	0	10	13	8	3	4	7	5
100507389	5	0	5	31	10	5	8	14	7
100507391	10	0	16	14	14	9	5	13	11
100507423	6	1	17	22	8	7	7	12	19
100507424	10	7	15	11	26	36	7	7	16
100507443	7	0	12	22	14	7	8	15	18
100507470	2	0	7	13	4	7	7	4	1
100507500	5	0	15	22	12	7	6	12	17
100507527	9	0	13	16	16	10	6	24	12
100507577	9	29	16	3	17	24	2	6	8
100507584	6	0	15	33	11	8	8	8	19
100507600	9	0	19	20	12	43	7	15	26
100507605	9	0	15	12	11	9	9	16	15
100507608	6	0	16	26	6	9	11	9	13
100507629	5.5	0	9	30	11	7	10	12	6
100507632	0	0	14	24	7	18	7	15	5
100507651	8	0	13	17	17	11	8	14	16
100507674	9	0	14	33	10	24	7	24	17
100526694	10	2	12	7	23	6	7	5	16
100526771	9	0	15	35	16	13	9	38	15
100526773	6.5	0	12	25	11	11	6	12	3
100526825	7	0	17	22	15	9	8	13	23
100527949	5	0	18	22	12	17	5	13	9
100527950	10	6	5	5	7	5	4	4	14
100527960	8	3	13	22	15	8	11	17	12
100527964	10	3	14	8	28	7	7	10	15
100528032	3	23	12	16	8	10	4	2	5
100529257	1	8	41	9	13	26	100	8	12
100529262	10	16	20	8	19	20	6	26	18
100532724	10	12	10	6	30	6	2	7	13
100532742	8	0	8	11	2	5	4	10	5
100533177	9	0	17	16	14	9	9	15	15
100533467	10	30	8	8	9	10	6	9	14
100533952	8.5	7	17	5	19	50	3	4	2
100533990	5	0	34	7	7	71	10	5	25
100534012	0.5	9	42	4	9	63	53	6	15
100534611	10	1	19	20	14	9	7	14	20
100551499	5	0	6	23	6	10	8	12	1
100616109	6.5	0	36	11	8	57	6	8	18
100616110	7	0	16	10	12	6	8	13	11
100616113	9	44	9	4	19	20	4	6	8
100616114	9	7	13	4	43	15	5	9	11
100616117	10	0	13	10	31	13	5	7	19
100616118	4	0	19	14	17	9	9	12	19
100616125	5	0	11	32	9	7	6	9	10
100616130	5	0	81	9	6	46	24	6	19
100616133	8	0	10	10	10	8	8	11	11
100616142	5	0	5	13	9	4	8	15	7
100616144	9	0	11	14	13	29	6	11	19
100616146	10	0	14	11	24	9	7	11	18
100616148	5.5	0	10	14	12	6	8	10	9
100616150	10	4	10	7	18	5	5	7	17
100616151	10	1	12	10	23	9	5	7	18
100616152	10	0	10	5	25	9	8	10	7
100616157	8	0	15	25	13	5	5	17	15
100616159	10	0	13	5	24	48	7	5	18
100616162	8	0	13	28	11	9	6	9	14
100616171	0	0	30	10	7	67	24	5	15
100616174	6	0	12	10	9	4	5	13	6
100616175	10	0	9	10	28	18	5	8	1
100616176	2	0	13	7	10	66	7	8	5
100616179	10	0	15	8	41	10	6	9	25
100616180	3	0	4	18	4	6	9	7	1
100616181	10	0	12	9	8	25	7	9	20
100616182	4	0	7	4	10	4	4	14	8
100616183	0	2	57	3	20	66	53	3	24
100616185	10	0	15	19	12	7	8	19	27
100616190	9	1	17	21	12	11	7	14	17
100616195	10	0	15	8	21	8	8	13	17
100616201	8	0	13	17	14	9	7	17	17
100616204	2	0	77	5	17	71	9	3	12
100616206	8	0	4	14	5	7	3	11	2
100616207	8	0	13	6	19	13	2	8	3
100616208	10	0	14	5	35	10	5	11	18
100616209	10	1	9	6	27	8	6	9	18
100616211	9	66	9	6	27	5	4	5	5
100616214	9	0	19	6	38	41	6	4	19
100616215	0.5	0	13	14	6	3	8	8	18
100616216	9.5	0	12	4	24	25	7	6	11
100616219	10	0	10	7	31	9	4	9	18
100616224	10	0	19	6	24	9	11	9	17
100616225	8	0	16	26	16	8	8	10	16
100616226	10	0	10	19	17	14	6	22	17
100616235	10	0	15	20	15	9	6	13	22
100616238	9	0	12	29	12	11	11	7	18
100616239	5	0	4	9	5	3	5	5	1
100616243	9	0	11	11	7	7	9	12	5
100616244	4.5	0	14	13	7	5	8	12	6
100616245	6	0	10	10	9	6	3	5	12
100616246	9	0	7	13	8	7	3	15	14
100616248	1	6	20	7	15	62	11	8	19
100616253	10	0	16	9	16	20	5	9	15
100616260	10	0	13	8	21	10	7	7	12
100616262	9	0	13	26	11	13	9	9	22
100616267	9	0	8	16	18	6	5	11	3
100616269	10	6	10	4	41	14	5	9	6
100616271	10	0	13	11	17	8	9	13	11
100616272	10	0	9	12	9	8	6	12	13
100616273	10	0	13	8	39	16	6	11	21
100616274	10	0	17	7	25	30	7	7	10
100616275	6	0	8	21	11	3	7	12	16
100616280	6.5	0	13	18	11	5	7	15	15
100616281	9	0	5	25	11	7	7	20	16
100616283	10	0	14	6	29	14	8	6	15
100616285	0.5	0	33	6	7	61	13	9	18
100616286	10	0	10	6	10	10	7	5	1
100616289	8	0	13	21	11	11	10	11	16
100616290	9	0	13	6	13	26	15	3	3
100616291	9	0	1	6	5	5	4	7	1
100616295	8	0	10	15	11	8	7	13	13
100616299	5	0	10	19	9	8	8	9	15
100616303	9	0	7	7	10	10	1	3	9
100616304	10	0	10	7	16	8	9	10	16
100616308	7	0	8	23	6	10	4	9	2
100616309	10	0	13	16	11	14	7	7	14
100616310	10	0	14	7	15	5	5	6	11
100616311	8	0	10	22	11	5	5	16	2
100616312	10	0	14	22	11	7	5	10	20
100616316	0	9	19	5	18	57	7	4	1
100616317	9	0	26	16	17	42	7	10	16
100616319	9	0	18	11	11	48	4	8	12
100616322	10	0	11	18	12	7	7	11	18
100616325	4	0	9	8	7	6	3	11	1
100616326	7	0	10	11	7	8	8	14	16
100616327	9	0	10	11	18	13	5	7	9
100616328	10	1	16	5	12	23	8	15	11
100616329	9	7	12	11	12	67	4	5	8
100616330	4.5	0	9	6	4	34	5	4	1
100616331	10	0	9	7	20	9	5	7	11
100616332	0	0	55	6	16	13	120	5	18
100616334	10	0	15	11	14	7	6	7	16
100616338	6	0	8	22	8	7	3	7	1
100616339	10	0	13	14	10	4	6	14	15
100616348	6	3	44	7	21	39	8	7	14
100616349	10	3	22	6	17	6	5	3	6
100616350	10	0	18	12	18	8	8	10	16
100616351	9.5	0	8	7	8	4	8	7	7
100616352	10	0	12	8	34	5	9	8	13
100616355	7	0	28	15	15	46	9	12	19
100616356	4.5	0	8	13	7	9	4	5	4
100616357	7	0	16	29	7	7	5	8	17
100616359	10	1	16	10	27	10	9	6	19
100616360	10	0	11	8	29	8	7	8	18
100616361	10	7	14	4	15	7	4	8	2
100616362	3	0	13	18	17	10	10	19	15
100616366	8	0	13	22	15	7	9	31	21
100616369	4	0	6	17	7	9	7	8	5
100616372	6	3	44	7	21	39	8	7	14
100616377	9	0	30	31	12	5	7	6	15
100616379	10	0	10	6	34	13	4	6	10
100616380	8	0	11	25	11	8	10	15	19
100616383	6	0	3	11	10	5	6	16	1
100616384	9.5	0	10	1	3	12	2	7	2
100616385	10	0	13	8	39	16	6	11	21
100616386	2.5	0	17	20	14	12	10	11	7
100616387	9	497	2	4	36	12	4	4	1
100616388	10	3	8	3	44	12	6	7	18
100616390	8	0	10	14	14	9	5	16	18
100616391	5	0	15	26	10	6	10	13	23
100616392	8	0	6	16	8	2	6	13	1
100616395	6	0	1	3	1	2	3	1	1
100616396	9	25	15	7	31	29	8	8	18
100616398	10	0	16	9	24	16	9	7	16
100616399	9	0	15	18	16	7	6	17	20
100616400	10	33	11	8	18	13	5	6	8
100616402	9	0	12	17	13	6	7	11	18
100616405	10	0	8	7	24	8	6	7	24
100616407	10	0	16	14	14	17	7	6	19
100616408	9	505	2	4	36	12	4	4	1
100616409	10	0	12	11	22	9	5	9	24
100616410	9	0	18	10	8	41	22	7	21
100616413	3	0	19	25	12	40	4	7	22
100616415	9	0	14	21	13	8	8	15	29
100616417	10	1	16	12	13	7	7	10	21
100616418	8	0	6	16	8	2	6	13	1
100616420	10	0	9	5	15	11	6	7	9
100616423	8.5	0	8	15	8	30	4	7	2
100616425	9	0	31	7	32	48	6	10	17
100616426	6	0	12	21	11	6	10	16	21
100616430	10	1	16	6	40	22	6	7	16
100616432	8	0	9	20	9	5	8	13	13
100616434	10	0	14	5	20	19	4	7	16
100616435	7	0	8	26	9	9	6	14	11
100616437	10	0	15	8	23	11	7	3	12
100616447	9	0	12	28	11	6	7	8	17
100616449	8	0	16	22	12	26	6	10	22
100616451	5.5	0	5	7	12	13	6	12	2
100616456	10	0	21	7	38	17	5	8	20
100616457	9	0	5	14	10	7	5	5	1
100616458	7	0	13	29	9	5	5	7	8
100616468	9	7	6	4	21	4	6	4	5
100616469	9	0	14	26	13	15	10	11	15
100616471	6	0	14	19	9	7	8	14	16
100616472	9	0	8	16	18	6	5	11	3
100616473	10	0	25	8	15	23	7	6	15
100616474	6	0	12	20	11	17	8	13	16
100616475	8.5	0	6	8	20	11	7	4	1
100616476	10	1	11	8	19	10	2	7	11
100616481	6.5	0	7	17	8	8	11	7	3
100616482	10	3	14	7	50	10	7	10	16
100616486	6	0	7	7	8	75	4	5	6
100616487	10	10	9	7	36	12	7	9	20
100616489	7	0	16	19	12	11	9	21	18
100616490	10	0	13	10	27	22	4	6	16
100616492	10	0	27	9	11	40	5	6	16
100616495	8	0	15	20	13	9	8	15	17
100616498	10	0	9	8	34	7	9	9	15
100628307	5	0	10	14	3	5	3	18	10
100628315	10	0	18	12	14	21	8	7	13
100628560	8	0	26	9	15	47	30	7	21
100652749	6	0	14	12	12	8	7	20	18
100652759	9	0	11	15	9	5	6	10	11
100652770	9	0	15	16	8	5	5	8	16
100652781	10	14	22	9	25	14	6	7	22
100652824	10	0	14	21	8	9	5	11	15
100652857	7.5	0	9	18	9	8	5	10	9
100652909	9	0	15	23	11	11	7	17	12
100652999	10	9	8	7	28	6	5	6	2
100653515	9	1	31	6	18	59	7	5	24
10068	4	17	46	8	26	52	51	6	18
10071	6	0	22	37	14	13	9	13	32
100750225	8	0	5	23	8	7	6	12	9
100775107	10	19	6	4	49	8	4	5	11
1008	4	0	8	12	10	9	5	10	5
100846991	8	0	13	15	6	8	2	10	4
100846995	8.5	0	6	7	8	6	5	5	1
100846997	4.5	0	9	10	14	8	10	9	13
100846998	9	0	10	21	8	4	9	13	10
100847000	3.5	0	12	20	10	12	6	13	9
100847003	9	0	12	11	11	14	8	8	14
100847008	0	10	19	5	18	57	7	4	1
100847009	10	1	3	7	4	6	4	6	1
100847010	9	3	15	8	31	11	7	5	11
100847014	7	0	10	16	10	8	7	11	22
100847016	9	0	1	6	10	7	6	8	1
100847017	9	0	20	15	12	8	7	7	22
100847019	10	0	20	12	13	7	9	6	7
100847020	10	0	14	12	32	4	4	9	14
100847021	6	0	14	28	9	8	9	12	7
100847022	6	0	13	32	14	27	6	13	18
100847025	6	0	9	10	14	8	10	9	13
100847027	9	0	10	21	11	9	3	7	9
100847029	10	0	19	19	11	13	5	7	22
100847031	0	0	33	15	13	74	15	5	23
100847032	10	0	14	13	10	15	6	14	20
100847039	9	0	15	9	10	18	4	7	14
100847040	8	0	14	16	11	4	5	10	24
100847045	6.5	0	17	15	9	6	8	11	20
100847046	10	4	17	9	31	11	7	8	21
100847048	10	0	22	7	14	29	6	9	12
100847050	10	0	14	17	16	8	8	9	22
100847051	6	2	18	5	24	64	7	6	26
100847053	9	0	12	18	13	6	4	7	11
100847058	8	0	17	13	10	6	5	13	7
100847059	3.5	1	18	7	13	38	3	10	8
100847063	8	0	12	9	13	5	8	11	18
100847067	8	0	19	18	14	29	6	8	19
100847075	10	1	15	4	33	14	7	7	8
100847077	6	0	19	9	11	5	5	11	8
100847078	3.5	0	7	6	2	3	4	8	2
100847080	10	0	13	16	11	9	9	11	19
100847083	7.5	0	1	2	11	19	2	20	1
100847084	8	0	10	26	11	7	7	16	14
100847086	10	0	16	20	12	10	8	16	23
100847087	10	0	15	7	25	20	9	5	13
100847088	9.5	2	18	9	27	19	4	4	12
100847089	7	0	15	30	13	12	8	8	18
100847090	0	0	18	6	21	49	62	4	17
100847091	8	0	17	13	10	6	5	13	7
100847092	0	0	9	32	12	17	5	11	6
100852408	8	0	15	10	11	8	7	19	17
100852409	5	0	2	8	2	3	3	8	2
100859921	9	0	8	20	10	9	5	13	14
10086	6	0	12	14	12	5	5	10	1
100861402	7	0	15	17	12	9	7	11	9
100861504	5	0	11	18	15	6	4	18	4
100861520	6	0	7	17	14	8	7	14	14
100861522	6	0	16	34	12	9	8	15	21
100861540	7	0	15	18	15	7	6	7	7
100861554	9	0	12	18	8	19	10	8	10
100862671	10	28	9	7	50	8	8	7	16
100862679	4	0	2	2	1	4	1	1	1
100862680	6	0	1	14	2	3	4	7	1
100862692	10	1	16	6	23	14	10	8	21
100873065	5	0	11	11	9	11	4	7	10
100873753	8	0	7	27	13	6	6	7	7
100873761	8	0	13	13	9	7	12	14	15
100873769	4	0	19	14	10	46	17	18	17
100873770	9	0	12	18	14	7	6	31	17
100873775	10	1	15	9	18	5	2	4	10
100873778	10	27	12	7	37	17	6	8	18
100873932	6.5	0	8	11	7	7	4	23	4
100873935	10	2	11	9	24	39	7	9	16
100873939	8	0	9	16	11	6	8	9	6
100873941	10	3	7	3	16	4	3	3	1
100873942	9	0	7	7	8	4	3	2	9
100873955	2.5	0	19	31	11	16	7	15	13
100873965	9.5	28	13	2	13	37	5	8	3
100873976	3.5	0	3	7	4	3	6	5	2
100873982	0	0	25	4	11	39	12	5	11
100873983	8	0	9	9	11	6	4	14	1
100873997	10	0	11	7	16	10	4	11	10
100874012	4	0	11	20	11	9	6	13	6
100874018	8	0	40	16	9	70	6	6	23
100874021	4	0	1	2	1	2	1	1	1
100874028	10	1	20	5	19	8	4	5	17
100874041	8	0	12	13	12	7	7	8	8
100874051	8	0	17	21	12	8	6	14	21
100874053	8	0	16	21	7	7	9	16	7
100874055	9	0	14	19	11	9	6	9	14
100874059	7	0	17	17	13	6	6	12	12
100874064	10	0	9	5	9	3	4	12	16
100874074	9	0	6	6	4	9	2	4	4
100874083	7	0	10	18	10	6	6	8	4
100874084	8	0	9	12	6	10	4	5	1
100874090	7.5	0	12	23	10	10	10	13	20
100874095	9	0	11	12	11	9	4	8	11
100874102	6	0	5	8	3	4	2	3	1
100874107	8	0	12	24	12	16	7	9	22
100874114	7.5	0	13	17	14	11	7	11	24
100874126	8	0	9	11	7	5	7	12	7
100874127	10	0	12	12	6	9	3	10	1
100874147	5	0	16	15	14	9	4	9	12
100874151	5	0	9	10	5	7	3	6	5
100874164	4	4	13	11	11	9	9	9	18
100874167	8	0	10	14	10	8	5	8	3
100874168	7	0	15	12	16	6	3	11	15
100874173	8	0	10	17	12	8	12	12	9
100874179	8	0	10	14	11	10	7	16	1
100874182	8	0	12	17	14	8	7	10	13
100874184	7.5	0	6	11	9	5	5	13	6
100874185	5.5	0	7	22	11	5	5	11	3
100874187	6.5	0	11	7	12	7	6	11	17
100874190	10	0	12	7	4	7	8	5	22
100874194	5	0	16	20	11	5	7	8	5
100874195	9	0	8	4	8	14	7	5	1
100874196	10	0	12	14	15	7	5	17	18
100874197	9	0	20	18	9	7	8	11	23
100874200	9	0	19	13	10	13	5	10	17
100874203	10	0	15	15	14	14	7	7	18
100874206	9.5	2	26	9	30	15	4	9	15
100874212	10	23	16	3	43	7	4	7	11
100874231	7	0	14	12	22	18	5	9	19
100874237	7.5	0	11	15	12	6	6	10	7
100874239	8	0	13	15	13	10	8	11	19
100874242	9	0	13	13	11	27	7	5	8
100874243	8	0	12	11	15	14	7	10	2
100874253	1	0	12	28	14	32	7	11	14
100874261	9	4	70	70	85	117	26	202	203
100874264	9	0	12	20	16	7	5	8	15
100874275	7	0	13	22	17	9	5	17	13
100874282	7	0	13	27	9	7	7	16	14
100874286	1.5	0	7	8	11	4	8	10	1
100874300	10	0	15	12	14	7	9	11	17
100874309	7.5	0	35	9	10	52	4	5	22
100874326	6	0	14	12	12	6	6	11	9
100874342	8	1	34	6	14	76	9	5	18
100874353	9	0	17	17	15	28	6	10	15
100874361	6	0	9	14	9	7	8	12	2
100874370	7	0	12	19	12	7	8	11	25
100874374	2	0	6	18	11	6	6	7	1
100874377	7.5	0	12	30	9	10	8	12	16
100885775	7.5	0	10	20	11	7	4	10	1
100885777	10	0	18	13	12	11	6	7	13
100885778	8	0	10	14	14	11	5	10	13
100885779	9	0	12	18	11	8	7	18	6
100885781	8	0	4	14	10	7	6	15	1
100885782	8	0	15	17	10	8	8	16	9
100885795	9	0	14	8	20	9	10	9	13
100885798	5	0	5	4	5	1	1	6	1
100885864	10	9	19	9	37	9	7	12	17
100886964	5	0	7	11	9	4	9	8	1
100887740	10	0	10	10	12	7	7	22	21
100887750	9	4	5	21	11	5	3	16	17
100887754	8	0	14	17	13	15	10	15	18
100887755	7	1	54	9	7	58	10	5	20
100913187	9	0	19	17	8	18	9	9	20
100996280	8	0	13	12	7	4	9	10	17
100996569	8	0	16	21	12	8	5	8	16
100996634	2	1	27	13	12	32	13	8	16
100996669	6.5	0	9	14	10	6	6	13	5
1010	0	0	15	18	7	20	6	11	18
10102	0	3	45	6	8	58	152	5	16
10103	8.5	0	14	25	11	16	7	9	22
101101772	8	0	9	14	13	8	6	13	12
101101773	5.5	0	12	14	12	12	5	11	16
101243545	8	190	9	11	7	7	3	9	14
10130	9	24	16	25	13	9	9	14	20
101340252	10	0	13	6	34	6	4	11	16
10136	9	0	16	19	10	7	6	11	17
101409254	9	0	13	18	11	11	4	10	12
101409256	10	0	14	14	9	6	9	25	21
101409258	0	1	31	3	6	11	90	2	9
10141	7	0	11	9	10	8	7	18	8
101410534	5	0	14	21	13	9	9	10	14
101410540	9	0	11	11	12	6	7	12	20
101410541	9	0	12	8	12	5	7	7	13
101410543	0	2	57	5	5	52	49	3	11
10143	8	0	11	21	9	6	7	15	19
101448202	9	0	13	17	13	14	5	23	14
10148	0	0	25	38	10	53	5	10	14
1015	5	0	21	30	12	24	8	11	14
10150	4	13	15	26	12	18	6	12	9
10151	7	0	11	20	17	6	6	14	13
10161	10	0	17	8	25	9	6	8	13
10164	8	0	18	33	9	24	5	8	21
10170	9	0	14	10	15	7	9	13	12
10178	9	0	9	6	6	2	4	3	13
10188	10	20	19	6	13	29	7	7	17
10190	9	5	16	3	17	34	4	7	8
10202	2.5	0	13	22	9	7	7	7	10
10205	5	0	13	25	8	28	4	7	11
10216	9	1	9	16	6	10	4	15	10
10218	10	0	14	10	37	11	8	7	18
10219	9	0	10	11	15	14	6	5	16
10223	8	0	34	6	9	50	7	10	21
10233	0	3	40	6	8	40	55	4	18
10234	9	0	16	12	12	8	8	6	17
10246	10	0	6	19	12	6	6	8	23
10256	9	0	14	19	13	14	8	9	23
1026	8	16	31	7	11	22	6	9	16
10261	10	1	19	9	25	24	7	6	19
10279	8.5	3	11	22	11	9	7	12	18
10281	8.5	0	9	14	11	7	9	18	17
10286	0	33	48	12	16	34	68	11	14
10317	8	0	12	19	8	7	7	10	9
10318	0	95	58	6	8	60	55	4	20
10332	9	0	11	12	7	21	4	11	16
10333	0	6	6	3	7	45	19	4	4
10335	7	0	19	24	12	11	8	6	20
10344	9	0	15	27	12	10	7	8	15
10346	0	52	31	4	7	40	51	3	2
10349	8	1	7	5	8	9	8	3	5
10350	6	25	2	3	10	15	3	13	4
10351	8	0	2	7	1	4	4	7	2
10371	1	0	7	16	5	19	8	6	1
10380	0	8	37	4	14	35	80	7	18
10384	0	19	42	3	7	18	84	3	9
10385	0	5	43	6	5	33	116	7	20
10394	4.5	0	21	23	11	12	8	14	14
10395	3	0	10	17	13	9	7	9	1
10411	9	9	14	11	13	22	4	7	14
10438	0	16	63	10	7	22	97	4	15
10443	0	24	61	12	9	32	116	7	21
10462	8.5	0	14	17	13	36	6	13	16
10475	0	35	51	6	4	55	87	7	6
1048	8	0	11	29	12	17	8	13	24
10485	0	0	11	39	7	19	8	10	18
10517	9	0	11	17	10	13	4	6	13
10520	10	18	10	4	48	16	5	39	7
10538	0	3	46	8	7	47	108	5	19
10544	8	0	26	13	9	44	12	5	18
10551	6	0	14	15	12	6	13	9	6
10556	0	5	35	18	4	30	109	5	18
10559	9	5	10	21	16	7	7	13	7
10562	7	0	12	18	12	12	8	12	16
10563	7	0	8	12	11	6	4	14	17
10579	7	0	15	24	11	19	9	11	17
10584	7	0	8	11	13	4	8	14	7
10626	0	1	31	16	10	35	87	7	19
10628	0	481	77	5	7	15	130	2	19
10631	6	0	16	17	13	4	8	14	5
10638	10	3	10	8	37	7	5	14	13
10647	4	0	11	30	12	8	10	15	18
10648	7	0	15	32	12	6	7	10	14
10659	9	36	11	16	13	9	5	11	4
10663	10	0	21	8	28	11	11	11	15
10666	0	0	21	29	10	46	14	15	13
10673	0	1	38	3	8	55	73	6	20
10677	10	1	20	8	10	22	5	6	18
10681	10	19	13	11	21	7	9	9	17
10686	4	0	14	23	14	10	4	6	9
1071	10	0	14	7	10	10	6	10	20
10737	10	2	11	15	7	7	5	12	13
10740	10	0	14	26	13	4	10	8	14
10746	9	22	18	8	27	25	5	4	12
10753	5.5	0	33	7	10	64	11	6	23
10758	0	5	53	9	8	44	92	6	14
10761	6	0	7	8	5	4	6	6	1
10773	0	6	69	8	9	28	97	10	19
1080	2	0	10	27	13	9	8	14	13
10803	8	0	11	24	13	11	10	12	11
1081	9	0	2	22	9	5	3	5	11
10816	1.5	0	16	21	12	7	6	10	5
10819	10	0	13	9	9	8	7	7	14
10821	8	0	13	34	9	7	6	13	14
10826	5	3	28	7	12	19	21	7	19
1084	6	0	13	27	11	18	4	5	18
10842	4	0	15	20	18	15	9	16	15
10844	10	12	14	8	30	14	8	6	17
10850	9	1	14	10	16	10	5	5	14
10859	0	36	34	6	6	26	72	4	4
10863	0	60	26	1	4	20	24	4	6
1087	8	0	19	25	12	7	9	12	24
10870	0	38	63	3	7	61	29	6	18
10871	8	0	16	24	9	11	6	10	23
10875	0	4	31	11	6	37	51	4	8
10876	7	0	11	17	11	13	7	10	17
10877	8	0	8	10	8	6	7	13	6
1088	5	0	13	29	15	13	6	10	20
10881	10	0	12	14	16	7	6	12	18
10887	10	0	12	9	17	7	3	11	14
10894	10	0	14	8	10	31	4	7	11
10896	10	2	14	9	39	6	4	16	18
10903	8	0	17	23	9	27	5	6	17
10911	10	0	11	14	12	12	7	12	18
10913	8	0	15	21	14	11	13	15	14
10930	8	1	23	8	16	65	7	5	20
10941	8	0	5	9	9	5	7	16	3
10964	6	0	15	12	11	10	7	18	10
10965	10	8	26	6	21	45	42	8	18
10987	0	9	85	4	6	50	143	2	13
10993	9	0	15	25	11	11	9	11	19
11005	5	0	9	13	7	3	6	7	18
11006	5	3	17	16	7	46	6	8	12
11009	8	127	16	18	8	14	6	7	10
11010	0	30	24	4	5	45	30	4	17
11011	0	13	29	6	9	69	25	5	19
11017	0	38	54	9	12	49	104	3	14
1102	10	1	6	18	9	5	10	12	7
11024	5.5	0	21	32	15	66	6	13	15
11026	7	0	12	29	12	19	6	7	21
1104	0	9	53	5	21	54	98	12	17
1105	0	27	23	2	13	33	53	1	4
11082	8	0	15	29	13	8	6	14	15
1109	6	0	5	11	14	8	7	12	3
11093	10	0	12	7	41	22	7	6	24
11118	0	27	54	4	7	37	106	5	6
11119	0	33	35	7	10	51	84	6	6
11131	9	0	11	29	11	8	8	8	21
11136	10	0	15	19	19	8	8	11	17
11141	0	0	5	11	5	15	5	5	2
11148	9	0	13	8	11	11	4	7	15
11156	8	0	12	21	12	9	8	11	19
1116	7	0	15	24	12	10	12	11	21
1117	9	5	16	12	16	42	7	14	10
11170	8.5	0	16	25	10	9	7	12	20
11174	0	8	31	5	5	9	66	3	10
11178	7	0	14	25	12	9	5	10	15
11181	8	0	17	23	12	8	6	8	24
11199	8	0	5	5	9	4	7	8	14
1121	0	4	18	14	1	11	38	4	2
11223	8	0	34	47	24	16	10	15	35
11227	6	0	14	29	14	14	6	10	17
1124	0	0	13	27	14	14	8	17	22
11251	6	0	20	20	13	7	8	8	14
11259	10	4	70	36	19	18	12	21	5
11262	0	52	53	3	8	47	66	4	11
112744	8	0	11	19	15	7	7	7	19
11277	10	5	11	8	45	9	8	6	19
112770	9	8	43	7	21	51	68	6	19
11281	9	0	8	28	9	9	5	13	10
112817	8	0	14	15	10	11	6	6	20
11309	10	0	16	27	12	13	8	15	17
11314	0	0	17	36	9	41	8	7	18
113157	7	0	12	24	10	9	12	13	16
11326	10	0	7	7	6	6	2	10	2
113278	8.5	0	13	35	13	9	8	14	26
11330	9	0	15	22	13	10	8	12	18
1134	10	0	28	15	8	32	5	6	16
11341	8.5	0	9	17	10	5	5	10	12
1135	6	0	13	29	14	8	7	8	15
113622	10	1	18	8	30	8	6	8	22
113675	3	0	21	18	7	50	7	8	19
113835	8	1	25	8	14	28	65	18	21
114026	9	0	12	18	14	9	8	20	15
114036	10	0	9	7	13	5	7	10	7
114043	10	0	14	19	13	10	6	21	21
114131	9	0	17	22	18	9	7	12	18
114132	9	0	16	21	11	6	11	21	17
1142	8	0	16	20	11	8	6	8	15
1143	8	0	15	28	13	14	6	11	19
114548	0	0	21	27	12	43	7	11	14
114571	6.5	0	9	16	11	4	7	10	5
114599	10	5	12	7	49	23	3	6	10
114770	7	0	18	19	10	18	8	17	19
114771	6	0	12	25	14	8	8	8	20
114780	8	0	15	30	12	10	8	12	17
114788	0	0	13	28	8	32	7	12	14
114795	5	0	14	23	14	8	7	14	11
114798	2	0	13	18	14	11	12	24	15
114800	5	0	14	16	11	12	5	9	5
114803	0	11	76	8	8	35	145	10	20
114819	10	3	15	7	18	15	8	8	14
114836	0	63	39	4	3	16	93	5	1
114883	8	11	12	7	11	27	3	11	9
114899	8.5	2	18	12	20	15	7	8	9
114905	7	0	5	18	12	5	6	9	1
114960	9	0	9	28	9	3	6	21	10
115111	8	0	12	10	17	4	3	5	11
115286	8	6	10	12	17	6	15	11	15
115350	0.5	95	29	5	6	19	58	5	2
115352	0	51	47	2	11	33	37	3	12
115361	0	2	28	9	10	35	72	6	14
115362	8	4	46	7	9	22	86	13	20
115584	10	0	17	19	13	5	5	7	21
115677	7	0	15	17	12	9	7	11	9
115701	10	0	18	27	12	10	11	9	15
115727	0	0	20	29	13	54	8	9	21
115761	8	3	37	8	9	49	96	8	20
115861	9	0	12	35	12	7	6	11	22
1160	7	0	17	26	10	22	7	10	20
116071	6	0	22	8	10	56	5	8	19
116085	10	0	15	29	15	8	7	25	20
116123	4.5	0	7	17	8	6	6	11	5
116173	8	0	16	23	10	9	8	10	20
116179	9	0	10	17	8	6	9	6	20
116211	10	1	19	20	14	9	7	14	20
116285	10	3	12	6	23	11	6	9	15
116337	9	0	10	18	14	8	9	10	22
116379	4	0	22	14	9	30	5	9	16
116441	8.5	0	6	25	9	4	3	6	7
116449	0	39	46	5	10	47	31	3	7
116512	9	0	13	29	10	16	4	15	21
116828	10	3	7	1	13	5	7	10	8
116842	9	1	12	6	23	11	4	6	6
116844	10	0	20	24	18	37	9	25	17
116933	9	0	11	26	17	7	4	32	7
116986	3	4	27	5	14	66	43	5	20
117144	9	0	16	20	17	33	7	8	20
117153	10	0	15	10	11	10	9	5	11
117156	2	0	6	6	9	2	5	9	3
117157	8	0	13	23	13	7	8	14	13
117159	5	0	12	20	11	9	5	12	15
117194	0.5	0	8	19	10	5	8	11	1
117196	3	0	32	13	10	52	32	5	15
117248	9	0	17	8	13	14	4	5	13
117285	7	0	11	15	12	7	11	15	12
117286	8	0	20	8	11	30	7	9	20
117289	0	224	35	4	16	40	84	10	9
117531	10	0	11	23	11	6	6	14	15
117532	5	0	16	32	16	8	8	8	23
117579	10	1	22	11	11	55	5	6	19
1178	4	0	16	25	11	9	6	10	19
117854	2	0	12	22	8	34	20	8	15
1179	8	0	6	15	8	9	5	7	8
1180	9	0	15	13	13	16	6	9	18
