CPGfrac	RPKM	H3K27ac	H3K27me3	H3K36me3	H3K4me1	H3K4me3	H3K9me3	Input
100130331	8	0	11	16	11	7	9	13	12
100130342	8	0	17	15	13	6	8	8	19
100130357	8	2	31	6	35	39	13	7	19
100130480	8	0	8	14	12	4	9	12	7
100130581	1	1	281	54	35	158	324	89	104
100130673	6	0	13	21	11	8	7	14	13
100130771	9	4	22	42	10	39	12	12	19
100130827	10	0	16	31	10	12	6	10	21
100130880	8	0	26	6	29	50	5	6	15
100130899	9	0	13	25	10	5	7	8	23
100130933	10	0	17	8	24	29	6	5	19
100130934	8	0	17	29	9	16	4	31	16
100130958	10	2	12	10	41	7	10	12	17
100130967	10	0	20	8	10	27	5	10	16
100130988	8.5	0	12	17	10	5	5	12	7
100131137	8	0	14	26	10	6	6	14	18
100131138	3	0	13	27	12	30	5	16	15
100131234	0	0	6	18	3	18	5	5	1
100131257	8	0	15	26	11	9	5	8	7
100131289	10	7	12	5	9	52	5	8	24
100131347	8.5	0	17	12	7	28	42	9	15
100131439	9	0	12	27	12	12	8	14	16
100131496	7	0	29	8	26	38	6	9	17
100131551	8	0	16	32	10	23	7	9	15
100131561	5.5	1	34	8	27	67	8	4	12
100131626	6	6	14	18	11	12	7	19	14
100131635	7	0	16	22	10	10	6	5	15
100131726	8	0	12	27	16	9	9	10	14
100131897	10	0	12	5	18	11	5	7	3
100131980	6	0	7	24	5	4	8	11	6
100132078	0	0	55	4	6	72	15	6	11
100132146	9	0	9	18	16	9	6	10	11
100132354	8	0	16	28	10	8	6	10	16
100132386	7	0	15	39	14	12	6	12	15
100132396	4	0	4	11	5	3	3	8	1
100132417	4.5	0	4	31	12	8	7	9	1
100132463	8	0	14	25	11	8	6	8	15
100132476	8	0	21	24	11	8	5	8	12
100132594	9	0	12	19	9	8	6	7	12
100132707	0	8	45	5	13	47	95	5	21
100132735	9	0	16	21	12	7	8	14	24
100132911	10	6	25	6	17	17	8	5	22
100132963	10	0	5	5	6	4	4	4	10
100132987	7	0	18	30	12	22	7	8	15
100133123	10	0	6	4	5	6	3	2	9
100133286	10	0	13	24	11	18	11	13	20
100133308	8	0	18	26	10	8	5	11	17
100133315	0	1	64	4	13	39	105	4	20
100134015	10	1	13	17	23	8	8	6	19
100144596	8	0	13	22	11	11	6	13	19
100144597	8	0	13	22	11	11	6	13	16
100144604	7	0	15	20	13	8	6	13	9
100151643	5	0	10	16	12	6	8	17	10
100169752	7	0	11	20	12	7	8	16	16
100169851	5	0	6	13	9	7	8	6	3
100169890	5	0	12	16	12	5	5	18	9
100169989	10	0	13	14	12	4	5	12	12
100170217	9	0	10	15	13	6	5	14	15
100170220	10	0	13	9	11	10	8	10	20
100170221	9	0	15	7	10	5	7	18	25
100170222	8	0	11	12	12	7	7	18	18
100170226	9	0	57	74	55	34	26	105	91
100170765	10	0	18	8	8	26	8	7	21
100188947	9.5	0	15	21	12	6	5	16	19
100188949	0	3	42	8	14	61	8	4	13
100188954	9	17	16	6	28	42	3	7	8
100189589	10	0	15	7	32	15	9	7	4
100192204	9	0	13	15	13	8	6	11	18
100192420	9	0	11	24	11	15	7	7	14
10020	8.5	13	10	9	16	10	6	10	10
100216001	8	0	5	35	7	5	7	13	1
100216546	9	1	21	5	27	20	6	6	16
10022	8	0	20	20	11	5	9	8	11
100233209	0	16	53	5	10	30	63	7	17
100240734	3	0	13	34	18	10	10	9	7
100270679	5.5	0	8	6	13	6	9	8	1
100270804	2	5	99	18	6	39	93	5	15
100271702	10	0	16	10	24	7	9	9	20
100271715	9	0	14	15	11	6	10	9	9
100271832	10	0	14	23	17	8	7	11	10
100271846	8	0	25	31	22	15	13	28	34
100272216	10	1	32	11	58	14	12	7	39
100287010	3.5	0	8	12	6	9	3	9	5
100287072	10	4	17	7	23	18	6	8	14
100287178	9	0	1	1	3	2	1	10	2
100287225	8	0	13	31	11	15	7	14	10
100287284	10	0	12	14	16	6	7	7	10
100287327	9	0	8	5	9	1	2	7	6
100287362	9	0	15	26	15	7	7	13	16
100287632	10	0	8	11	10	6	4	6	6
100287722	9.5	15	13	5	28	27	8	7	12
100287792	8	0	12	26	11	6	9	15	18
100287814	0	0	8	17	7	74	16	10	8
100287879	8	0	12	22	13	29	5	11	24
100287948	5	0	18	17	14	12	10	10	18
100288077	6.5	0	12	16	13	6	5	16	18
100288079	8	0	3	6	9	4	5	5	2
100288122	9	0	15	20	15	9	6	10	15
100288323	8	0	9	8	8	5	7	8	12
100288332	10	9	14	17	13	13	7	6	12
100288637	9	1	14	10	19	14	6	8	17
100288797	5	0	12	29	11	9	5	11	14
100288814	10	0	9	16	6	5	3	14	9
100288831	10	0	14	9	19	9	6	7	11
100289017	6	0	12	16	12	8	7	12	15
100289211	9	0	18	24	13	9	6	22	12
100289255	9	0	14	26	15	11	8	10	26
100289462	3.5	0	14	15	13	8	6	17	22
100289473	8	0	14	27	8	13	5	7	16
100289650	8	0	12	16	12	8	7	16	14
100289673	10	0	13	11	13	8	5	9	10
100292680	10	0	11	18	12	12	6	8	23
100294720	7	0	11	27	12	11	6	13	10
100302112	1	0	17	28	6	47	9	6	16
100302113	10	0	6	9	16	11	5	9	1
100302116	8	0	9	22	12	7	6	11	14
100302117	4	0	16	7	11	34	6	8	12
100302118	10	0	18	19	13	25	7	7	25
100302123	8	0	9	24	12	7	8	9	16
100302124	10	0	19	8	19	10	6	9	8
100302126	9	0	14	20	12	7	7	9	14
100302132	10	3	17	9	28	12	8	12	24
100302133	10	1	14	15	17	10	9	10	17
100302134	6	0	16	27	9	24	7	6	13
100302135	5	1	18	5	11	45	25	3	12
100302136	2.5	0	2	9	5	6	4	7	1
100302141	10	0	15	10	20	10	7	9	19
100302142	6	0	4	11	12	7	4	11	1
100302152	8.5	0	14	21	10	7	6	10	10
100302155	10	0	15	6	17	10	4	10	11
100302157	10	0	14	14	13	10	7	17	16
100302158	9	0	9	6	32	8	8	7	16
100302161	10	0	14	7	21	14	7	8	21
100302163	10	0	6	6	24	12	7	5	2
100302166	9.5	0	7	6	43	7	5	5	12
100302169	5.5	0	4	6	5	3	3	4	4
100302170	9	0	2	10	12	8	9	4	1
100302174	10	2	17	5	16	55	38	7	14
100302175	0	0	45	5	9	64	24	4	22
100302184	10	0	14	18	11	10	7	8	23
100302187	8	0	10	15	9	14	5	20	10
100302188	8	0	9	11	7	6	9	12	1
100302190	10	0	11	7	43	12	6	9	23
100302191	7.5	0	14	17	11	9	8	16	10
100302195	8	0	21	16	9	5	8	17	9
100302202	10	0	17	7	29	11	5	7	11
100302204	6	0	10	19	7	7	4	13	3
100302205	9	0	16	16	10	7	7	14	18
100302209	9	0	15	14	13	8	8	17	16
100302211	10	2	12	6	37	10	8	7	16
100302214	10	0	8	2	11	2	1	2	7
100302217	10	0	14	8	42	12	7	15	19
100302220	9	0	15	22	11	10	6	11	15
100302222	9	0	11	4	4	3	1	7	5
100302226	10	1	23	7	37	46	7	12	19
100302235	8	0	9	30	13	7	4	7	15
100302239	8	0	10	14	12	5	8	10	14
100302240	6	7	22	6	29	23	4	7	2
100302243	10	2	10	6	27	8	6	9	18
100302246	10	0	13	12	22	9	5	21	22
100302250	8.5	0	15	12	11	9	7	15	18
100302255	9	0	16	12	14	8	8	18	16
100302260	3.5	0	1	9	6	3	4	8	1
100302261	10	3	22	8	37	16	7	7	20
100302265	9	0	8	15	15	7	8	17	12
100302270	7	0	11	12	10	5	9	12	12
100302274	10	0	12	8	19	8	6	11	15
100302277	4.5	0	6	13	12	7	5	9	6
100302279	6	0	13	16	7	4	4	14	8
100302281	1.5	0	15	16	4	40	3	6	4
100302282	9	6	9	6	33	31	6	6	10
100302740	0	1	28	7	6	39	88	3	9
100302746	10	0	14	30	13	6	6	14	12
100303749	10	0	12	5	19	16	4	7	2
100310846	10	2	15	6	27	11	6	9	13
100313769	10	1	7	9	16	7	9	7	14
100313770	10	0	11	8	37	14	10	9	14
100313773	6	0	9	14	10	5	4	8	5
100313777	6	0	17	29	13	14	8	12	2
100313778	4	0	5	14	6	19	8	6	8
100313779	8	0	15	27	13	7	4	13	24
100313780	10	0	20	7	23	10	8	8	19
100313841	8.5	0	10	19	11	6	6	7	6
100313843	10	0	15	17	17	7	5	7	18
100313884	10	0	4	11	12	6	3	6	19
100313886	10	0	14	10	11	8	7	8	16
100313892	10	4	12	6	29	7	6	10	18
100313896	10	0	15	8	29	6	8	7	16
100313914	10	0	20	10	31	39	7	9	16
100313938	10	0	11	5	14	9	7	9	19
100329109	10	3	15	8	20	6	6	12	15
100337591	10	3	13	5	46	6	8	12	13
100337616	7	0	12	13	19	4	8	13	15
100359394	10	0	11	7	25	19	4	7	6
100379132	10	2	13	5	31	16	5	25	11
100379141	10	0	14	8	27	22	7	11	19
100379174	8	0	10	10	6	6	8	16	14
100379220	9	0	8	13	11	6	5	11	18
100379250	10	1	28	8	30	43	7	8	14
100379251	8	11	18	7	41	56	7	4	27
100379345	0	0	18	25	8	42	4	10	10
100379571	10	1	21	9	18	8	8	10	9
10038	0	6	55	4	13	29	95	4	21
100419868	9	0	8	6	14	3	2	19	2
100422737	8.5	1	22	11	11	39	5	7	22
100422824	7	1	13	8	21	43	7	7	14
100422825	10	0	9	5	19	9	5	5	10
100422827	10	0	9	5	19	9	5	6	10
100422828	2.5	0	17	30	14	15	8	16	16
100422829	9.5	2	10	6	19	20	8	12	6
100422837	8	0	12	14	10	9	6	15	19
100422840	7	0	15	9	13	5	7	10	9
100422845	10	0	4	4	19	8	7	5	9
100422851	10	0	15	17	11	10	6	10	24
100422853	9	0	8	17	9	8	8	8	8
100422855	6	0	15	16	10	8	8	11	13
100422856	5	0	13	10	9	3	3	11	14
100422859	9	4	14	6	20	29	6	3	11
100422861	10	0	14	12	15	11	7	11	14
100422863	8	0	16	25	14	8	7	16	25
100422865	7	0	20	25	11	7	5	12	4
100422866	10	0	8	7	19	9	5	6	14
100422867	7	0	12	13	14	8	6	13	17
100422868	8	0	15	14	12	17	8	9	13
100422869	5.5	0	7	12	9	3	4	11	8
100422871	8	0	5	12	5	4	4	9	2
100422873	10	0	16	16	13	5	10	15	23
100422874	6	0	12	22	12	7	9	12	16
100422875	9	3	6	4	23	12	5	8	18
100422880	10	1	5	6	34	9	8	8	9
100422881	9	0	11	21	16	8	8	12	16
100422882	9	0	8	9	3	8	4	3	3
100422883	6	0	15	39	13	10	6	10	19
100422887	0	0	27	4	10	60	8	5	13
100422889	10	0	14	8	45	14	4	9	20
100422891	8	0	17	11	13	8	6	14	11
100422892	10	0	13	7	23	6	5	15	26
100422894	8	0	15	25	11	9	6	10	17
100422897	4	0	7	19	8	6	6	14	4
100422898	8.5	0	5	16	10	10	6	14	2
100422900	9	0	12	7	16	12	6	8	15
100422903	10	0	17	5	32	13	5	6	15
100422907	8.5	0	13	6	13	4	7	13	19
100422908	10	0	12	15	8	4	7	11	13
100422909	10	0	11	6	17	7	4	5	7
100422912	10	0	14	23	15	9	6	11	14
100422914	9.5	0	15	17	12	11	5	10	18
100422916	9	0	9	18	11	6	7	12	17
100422918	5.5	0	16	25	11	6	10	11	14
100422920	3.5	0	17	27	9	5	7	12	7
100422924	4.5	0	4	16	11	9	7	8	1
100422927	9	0	12	20	11	9	3	21	18
100422928	10	1	17	8	45	12	5	10	22
100422930	7	0	6	10	5	4	6	9	9
100422937	7	0	6	7	10	7	7	16	12
100422938	9	0	3	14	8	9	5	7	20
100422940	9.5	0	6	7	30	13	1	7	4
100422941	9	0	11	14	7	10	8	7	13
100422948	9.5	0	12	18	10	8	8	6	20
100422950	8	0	15	22	12	9	7	16	13
100422952	10	4	15	7	18	11	6	5	19
100422953	10	0	15	10	13	24	8	9	17
100422959	5	0	10	16	8	6	5	12	3
100422963	4	0	39	4	8	55	17	8	19
100422965	10	0	15	11	34	9	5	11	15
100422966	5	0	12	32	17	14	6	17	19
100422967	10	1	6	7	16	7	8	6	2
100422969	10	0	6	6	25	8	5	7	16
100422971	10	1	21	7	22	36	6	6	18
100422975	3	0	17	30	9	13	6	10	21
